Vigencia_Ejecucion;No_Localidad;Nombre_Localidad;Sector;Entidad;Codigo_Proyecto;Cod_meta_proyecto_extendida;Meta_proyecto;No_CRP;Fecha_Registro;No_Compromiso;Compromiso;Plazo;Objeto;Modalidad_seleccion;Descripcion_Mod_Selec;Tipo_Doc_BP_Beneficiario;Valor_CRP_Asignado_presupuestos_participativos;Codigo_propuestas_financiadas_CRP
2021;1;Usaquén;CULTURA, RECREACIÓN Y DEPORTE;IDRD;1939;17;Vincular 9142 personas en actividades recreodeportivas comunitarias;998;5/08/2021;027 2021 ADICION;CONTRATO DE PRESTACION DE SERVICIOS DE APOYO A LA GESTION;30;ADICIÓN NO. 1 Y PRORROGA NO. 01 AL CONTRATO NO. 027-2021, CUYO OBJETO ES: “PRESTAR LOS SERVICIOS APOYO A LA GESTIÓN DEL DESARROLLO LOCAL DE LA ALCALDÍA LOCAL DE USAQUÉN REALIZANDO LAS ACTIVIDADES CONCERNIENTES AL APOYO DEL DESARROLLO DE LOS PROYECTOS DE I;10;CONTRATACIÓN DIRECTA;Cedula de Ciudadanía;$ 3.988.000;"US050;US052;US054;US055"
2021;1;Usaquén;CULTURA, RECREACIÓN Y DEPORTE;IDRD;1939;17;Vincular 9142 personas en actividades recreodeportivas comunitarias;1163;12/10/2021;398 2021;CONTRATO DE PRESTACION DE SERVICIOS;80;PRESTAR LOS SERVICIOS DE PLANEACIÓN, ORGANIZACIÓN, DESARROLLO, SEGUIMIENTO Y EVALUACIÓN DEL EVENTO CARRERA CICLÍSTICA DE USAQUÉN Y EL FESTIVAL DE CLUBES Y ESCUELAS DEPORTIVAS 2021;10;CONTRATACIÓN DIRECTA;NIT;$ 106.504.545;"US050;US054;US055"
2021;1;Usaquén;CULTURA, RECREACIÓN Y DEPORTE;IDRD;1939;17;Vincular 9142 personas en actividades recreodeportivas comunitarias;1213;25/10/2021;CI 406 2021;CONTRATO DE PRESTACION DE SERVICIOS;67;SUSCRIBIR UN CONTRATO INTERADMINISTRATIVO ENTRE LA UNIVERSIDAD PEDAGÓGICA NACIONAL Y EL FONDO DE DESARROLLO LOCAL DE USAQUÉN, EN LA PRESTACIÓN DE LOS SERVICIOS PARA DESARROLLAR LAS ACTIVIDADES DEPORTIVAS EN EL MARCO DEL CUMPLIMIENTO DE LAS METAS PROPUESTA;10;CONTRATACIÓN DIRECTA;NIT;$ 324.063.801;"US052;US054;US055"
2021;1;Usaquén;CULTURA, RECREACIÓN Y DEPORTE;IDRD;1939;18;Capacitar 680 personas en los campos deportivos;811;9/03/2021;155 2021;CONTRATO DE PRESTACION DE SERVICIOS DE APOYO A LA GESTION;183;PRESTAR LOS SERVICIOS TÉCNICOS APOYANDO LAS ACTIVIDADES CONCERNIENTES AL DESARROLLO DE LOS PROYECTOS DE INVERSIÓN, SEGUIMIENTO, EVALUACIÓN Y APOYO PARA EL ALCANCE DE LA META CAPACITAR 680 PERSONAS EN LOS CAMPOS DEPORTIVOS DEL PROYECTO 1939 USAQUÉN DEPORTI;10;CONTRATACIÓN DIRECTA;Cedula de Ciudadanía;$ 18.000.000;"US033;US034"
2021;1;Usaquén;CULTURA, RECREACIÓN Y DEPORTE;IDRD;1939;18;Capacitar 680 personas en los campos deportivos;1097;22/09/2021;372-2021;CONTRATO DE PRESTACION DE SERVICIOS DE APOYO A LA GESTION;100;PRESTAR LOS SERVICIOS TÉCNICOS APOYANDO LAS ACTIVIDADES CONCERNIENTES AL DESARROLLO DE LOS PROYECTOS DE INVERSIÓN SEGUIMIENTO, EVALUACIÓN Y APOYO PARA EL ALCANCE DE LA META CAPACITAR 680 PERSONAS EN LOS CAMPOS DEPORTIVOS DEL PROYECTO 1939 USAQUÉN DEPORTIV;10;CONTRATACIÓN DIRECTA;Cedula de Ciudadanía;$ 10.500.000;"US033;US034"
2021;1;Usaquén;CULTURA, RECREACIÓN Y DEPORTE;IDRD;1939;18;Capacitar 680 personas en los campos deportivos;1213;25/10/2021;CI 406 2021;CONTRATO DE PRESTACION DE SERVICIOS;67;SUSCRIBIR UN CONTRATO INTERADMINISTRATIVO ENTRE LA UNIVERSIDAD PEDAGÓGICA NACIONAL Y EL FONDO DE DESARROLLO LOCAL DE USAQUÉN, EN LA PRESTACIÓN DE LOS SERVICIOS PARA DESARROLLAR LAS ACTIVIDADES DEPORTIVAS EN EL MARCO DEL CUMPLIMIENTO DE LAS METAS PROPUESTA;10;CONTRATACIÓN DIRECTA;NIT;$ 169.911.932;"US033;US034"
2021;1;Usaquén;CULTURA, RECREACIÓN Y DEPORTE;IDRD;1939;18;Capacitar 680 personas en los campos deportivos;1350;16/12/2021;372 2021 ADICION;CONTRATO DE PRESTACION DE SERVICIOS DE APOYO A LA GESTION;15;PRESTAR LOS SERVICIOS TÉCNICOS APOYANDO LAS ACTIVIDADES CONCERNIENTES AL DESARROLLO DE LOS PROYECTOS DE INVERSIÓN, SEGUIMIENTO, EVALUACIÓN Y APOYO PARA EL ALCANCE DE LA META CAPACITAR 680 PERSONAS EN LOS CAMPOS DEPORTIVOS DEL PROYECTO 1939 USAQUÉN DEPORTI;10;CONTRATACIÓN DIRECTA;Cedula de Ciudadanía;$ 1.400.000;"US033;US034"
2021;1;Usaquén;CULTURA, RECREACIÓN Y DEPORTE;IDRD;1939;19;Beneficiar 680 Personas con artículos deportivos entregados;845;17/03/2021;187 2021;CONTRATO DE PRESTACION DE SERVICIOS PROFESIONALES;244;PRESTAR LOS SERVICIOS PROFESIONALES, GESTIÓN DEL DESARROLLO LOCAL DE LA ALCALDÍA LOCAL DE USAQUÉN REALIZANDO LAS ACTIVIDADES CONCERNIENTES AL DESARROLLO DE LOS PROYECTOS DE INVERSIÓN, SEGUIMIENTO, EVALUACIÓN;10;CONTRATACIÓN DIRECTA;Cedula de Ciudadanía;$ 36.000.000;"US022;US023"
2021;1;Usaquén;CULTURA, RECREACIÓN Y DEPORTE;IDRD;1939;19;Beneficiar 680 Personas con artículos deportivos entregados;1092;20/09/2021;360 2021;CONTRATO DE PRESTACION DE SERVICIOS PROFESIONALES;102;PRESTAR LOS SERVICIOS PROFESIONALES REALIZANDO LAS ACTIVIDADES CONCERNIENTES AL DESARROLLO SEGUIMIENTO Y EVALUACIÓN DEL PROYECTO 1939 USAQUÉN DEPORTIVA Y RECREATIVA EL CUAL HACE PARTE DEL PLAN DE DESARROLLO LOCAL USAQUÉN REVERDECE 2021-2024: UN NUEVO CONT;10;CONTRATACIÓN DIRECTA;Cedula de Ciudadanía;$ 20.000.000;"US022;US023"
2021;1;Usaquén;CULTURA, RECREACIÓN Y DEPORTE;IDRD;1939;19;Beneficiar 680 Personas con artículos deportivos entregados;1118;1/10/2021;386 2021;CONTRATO DE PRESTACION DE SERVICIOS PROFESIONALES;90;PRESTAR LOS SERVICIOS PROFESIONALESDE APOYO EN LA GESTIÓN DEL DESARROLLO LOCAL DE LA ALCALDÍA LOCAL DE USAQUÉN REALIZANDO LAS ACTIVIDADES CONCERNIENTES AL DESARROLLO, SEGUIMIENTO Y EVALUACIÓN DEL PROYECTO DE INVERSIÓN 1939 USAQUÉN DEPORTIVA Y RECREATIVA;10;CONTRATACIÓN DIRECTA;Cedula de Ciudadanía;$ 13.083.000;"US022;US023"
2021;1;Usaquén;CULTURA, RECREACIÓN Y DEPORTE;IDRD;1939;19;Beneficiar 680 Personas con artículos deportivos entregados;1185;19/10/2021;CM 405 2021;CONTRATO DE SUMINISTRO;73;Adquisición de dotación deportiva para el acondicionamiento del adulto mayor de la localidad de Usaquén en el marco del proyecto 1939 Usaquén deportiva y recreativa y en cumplimiento de la meta plan de desarrollo local: beneficiar 680 personas con artícul;03;SELEC. ABREV. SUBASTA INVERSA;NIT;$ 20.229.350;US022
2021;1;Usaquén;CULTURA, RECREACIÓN Y DEPORTE;IDRD;1939;19;Beneficiar 680 Personas con artículos deportivos entregados;1270;11/11/2021;429 2021;CONTRATO DE COMPRAVENTA;50;ADQUISICIÓN DE IMPLEMENTOS DEPORTIVOS PARA DOTAR A LOS DEPORTISTAS DE ALTO RENDIMIENTO DE LA LOCALIDAD MARCO DE LA META DEL PLAN DE DESARROLLO LOCAL DE BENEFICIAR 680 PERSONAS CON ARTÍCULOS DEPORTIVOS ENTREGADOS;03;SELEC. ABREV. SUBASTA INVERSA;NIT;$ 24.748.680;US023
2021;1;Usaquén;CULTURA, RECREACIÓN Y DEPORTE;IDRD;1939;19;Beneficiar 680 Personas con artículos deportivos entregados;1292;30/11/2021;437 2021;CONTRATO DE COMPRAVENTA;29;ADQUISICIÓN DE IMPLEMENTOS PARA LA ACTIVIDAD FÍSICA DEL ADULTO MAYOR ACTIVO DE LA LOCALIDAD DE USAQUÉN EN EL MARCO DEL PROYECTO 1939 USAQUÉN DEPORTIVA Y RECREATIVA Y EN CUMPLIMIENTO DE LA META PLAN DE DESARROLLO LOCAL;04;CONTRATACIÓN MÍNIMA CUANTÍA;NIT;$ 5.977.000;US022
2021;1;Usaquén;CULTURA, RECREACIÓN Y DEPORTE;IDRD;1939;19;Beneficiar 680 Personas con artículos deportivos entregados;1351;16/12/2021;386 2021 ADICION;CONTRATO DE PRESTACION DE SERVICIOS PROFESIONALES;15;PRESTAR LOS SERVICIOS PROFESIONALES DE APOYO EN LA GESTIÓN DEL DESARROLLO LOCAL DE LA ALCALDÍA LOCAL DE USAQUÉN REALIZANDO LAS ACTIVIDADES CONCERNIENTES AL DESARROLLO, SEGUIMIENTO Y EVALUACIÓN DEL PROYECTO DE INVERSIÓN 1939 USAQUÉN DEPORTIVA Y RECREATIVA;10;CONTRATACIÓN DIRECTA;Cedula de Ciudadanía;$ 3.052.700;"US022;US023"
2021;1;Usaquén;DESARROLLO ECONÓMICO, INDUSTRIA Y TURISMO;SDE;1941;3;Promover en 208 Mipymes y/o emprendimientos la transformación empresarial y/o productiva.;698;12/02/2021;052 2021;CONTRATO DE PRESTACION DE SERVICIOS PROFESIONALES;241;PRESTAR LOS SERVICIOS PROFESIONALES A LA ALCALDÍA LOCAL DE USAQUÉN PARA EL APOYO EN LA CONSTRUCCIÓN Y EJECUCIÓN DE LA ESTRATEGIA DE REACTIVACIÓN ECONÓMICA EN EL ÁREA DE GESTIÓN DE DESARROLLO LOCAL- META PDL: PROMOVER EN 208 MIPYMES Y /O EMPRENDIMIENTOS LA;10;CONTRATACIÓN DIRECTA;Cedula de Ciudadanía;$ 18.900.000;US071
2021;1;Usaquén;DESARROLLO ECONÓMICO, INDUSTRIA Y TURISMO;SDE;1941;3;Promover en 208 Mipymes y/o emprendimientos la transformación empresarial y/o productiva.;836;16/03/2021;176 2021;CONTRATO DE PRESTACION DE SERVICIOS PROFESIONALES;183;PRESTAR LOS SERVICIOS PROFESIONALES A LA ALCALDÍA LOCAL DE USAQUÉN PARA LA CONSTRUCCIÓN Y EJECUCIÓN DE LA ESTRATEGIA DE REACTIVACIÓN ECONÓMICA EN EL ÁREA DE GESTIÓN DE DESARROLLO LOCAL- META PDL: PROMOVER EN 208 MIPYMES Y/O EMPRENDIMIENTOS LA TRANSFORMACI;10;CONTRATACIÓN DIRECTA;Cedula de Ciudadanía;$ 25.200.000;US071
2021;1;Usaquén;DESARROLLO ECONÓMICO, INDUSTRIA Y TURISMO;SDE;1941;3;Promover en 208 Mipymes y/o emprendimientos la transformación empresarial y/o productiva.;978;16/07/2021;283 2021;CONVENIO DE COOPERACION;168;Aunar esfuerzos para la cooperación administrativa, técnica y económica, entre el Programa para las Naciones Unidas para el Desarrollo (PNUD) y El Fondo de Desarrollo Local, con el fin de implementar estrategias que promuevan el fortalecimiento a los empr;10;CONTRATACIÓN DIRECTA;NIT;$ 422.990.440;US071
2021;1;Usaquén;DESARROLLO ECONÓMICO, INDUSTRIA Y TURISMO;SDE;1941;3;Promover en 208 Mipymes y/o emprendimientos la transformación empresarial y/o productiva.;983;29/07/2021;052 2021 CESION;CONTRATO DE PRESTACION DE SERVICIOS PROFESIONALES;155;PRESTAR LOS SERVICIOS PROFESIONALES A LA ALCALDÍA LOCAL DE USAQUÉN PARA EL APOYO EN LA CONSTRUCCIÓN Y EJECUCIÓN DE LA ESTRATEGIA DE REACTIVACIÓN ECONÓMICA EN EL ÁREA DE GESTIÓN DE DESARROLLO LOCAL- META PDL: PROMOVER EN 208 MIPYMES Y /O EMPRENDIMIENTOS LA;10;CONTRATACIÓN DIRECTA;Cedula de Ciudadanía;$ 12.460.000;US071
2021;1;Usaquén;DESARROLLO ECONÓMICO, INDUSTRIA Y TURISMO;SDE;1941;3;Promover en 208 Mipymes y/o emprendimientos la transformación empresarial y/o productiva.;1005;18/08/2021;305 2021;CONVENIO INTERADMINISTRATIVO;135;LA ADHESIÓN DE LA FONDO DE DESARROLLO LOCAL DE USAQUÉN, AL CONTRATO INTERADMINISTRATIVO NO. CO1.PCCNTR.2564825 DE 2021, SUSCRITO ENTRE LA UDFJC Y EL SENA, PARTICULARMENTE PARA FINANCIAR PROYECTOS E INICIATIVAS EMPRESARIALES PRESENTADAS EN CONVOCATORIA CER;10;CONTRATACIÓN DIRECTA;NIT;$ 250.000.000;US071
2021;1;Usaquén;DESARROLLO ECONÓMICO, INDUSTRIA Y TURISMO;SDE;1941;3;Promover en 208 Mipymes y/o emprendimientos la transformación empresarial y/o productiva.;1014;24/08/2021;304 2021;CONTRATO DE PRESTACION DE SERVICIOS;129;PRESTAR LOS SERVICIOS DE PRODUCCIÓN DE LOS DIFERENTES EVENTOS, REUNIONES O ACTIVIDADES EN QUE TENGA RESPONSABILIDAD EL FDLUSA EN EL MARCO DEL CUMPLIMIENTO DEL PDL USAQUÉN REVERDECE 2021-2024 UN NUEVO CONTRATO SOCIAL Y AMBIENTAL PARA USAQUÉN VIGENCIA 2021;01;LICITACIÓN PÚBLICA;NIT;$ 261.599.447;US071
2021;1;Usaquén;DESARROLLO ECONÓMICO, INDUSTRIA Y TURISMO;SDE;1941;3;Promover en 208 Mipymes y/o emprendimientos la transformación empresarial y/o productiva.;1025;27/08/2021;052-2021-R282;CONTRATO DE PRESTACION DE SERVICIOS PROFESIONALES;126;PRESTAR LOS SERVICIOS PROFESIONALES A LA ALCALDÍA LOCAL DE USAQUÉN PARA EL APOYO EN LA CONSTRUCCIÓN Y EJECUCIÓN DE LA ESTRATEGIA DE REACTIVACIÓN ECONÓMICA EN EL ÁREA DE GESTIÓN DE DESARROLLO LOCAL- META PDL: PROMOVER EN 208 MIPYMES Y /O EMPRENDIMIENTOS LA;10;CONTRATACIÓN DIRECTA;Cedula de Ciudadanía;$ 2.100.000;US071
2021;1;Usaquén;DESARROLLO ECONÓMICO, INDUSTRIA Y TURISMO;SDE;1941;3;Promover en 208 Mipymes y/o emprendimientos la transformación empresarial y/o productiva.;1091;20/09/2021;300 2021;CONTRATO DE PRESTACION DE SERVICIOS PROFESIONALES;102;PRESTAR LOS SERVICIOS PROFESIONALES A LA ALCALDÍA LOCAL DE USAQUÉN PARA LA CONSTRUCCIÓN Y EJECUCIÓN DE LA ESTRATEGIA DE REACTIVACIÓN ECONÓMICA EN EL ÁREA DE GESTIÓN DE DESARROLLO LOCAL - META PDL: PROMOVER EN 208 MIPYMES Y/O EMPRENDIMIENTOS LA TRANSFORMAC;10;CONTRATACIÓN DIRECTA;Cedula de Ciudadanía;$ 17.444.000;US071
2021;1;Usaquén;DESARROLLO ECONÓMICO, INDUSTRIA Y TURISMO;SDE;1941;3;Promover en 208 Mipymes y/o emprendimientos la transformación empresarial y/o productiva.;1166;13/10/2021;052 2021;CONTRATO DE PRESTACION DE SERVICIOS PROFESIONALES;79;PRESTAR LOS SERVICIOS PROFESIONALES A LA ALCALDÍA LOCAL DE USAQUÉN PARA EL APOYO EN LA CONSTRUCCIÓN Y EJECUCIÓN DE LA ESTRATEGIA DE REACTIVACION ECONÓMICA EN EL ÁREA DE GESTIÓN E DESARROLLO LOCAL- META PDL: PROMOVER EN  208 MIPYMES Y /O EMPRENDIMIENTOS TR;10;CONTRATACIÓN DIRECTA;Cedula de Ciudadanía;$ 12.600.000;US071
2021;1;Usaquén;DESARROLLO ECONÓMICO, INDUSTRIA Y TURISMO;SDE;1941;3;Promover en 208 Mipymes y/o emprendimientos la transformación empresarial y/o productiva.;1245;4/11/2021;407 2021;CONTRATO DE PRESTACION DE SERVICIOS PROFESIONALES;59;PRESTAR SERVICIOS PROFESIONALES A LA ALCALDÍA LOCAL DE USAQUÉN EN LA ORGANIZACIÓN, ARTICULACIÓN, ORIENTACIÓN Y SEGUIMIENTO TRANSVERSAL A LOS PROCESOS, Y PROGRAMAS DEL PROYECTO DE INVERSIÓN No. 1941 REACTIVACIÓN ECONÓMICA POR USAQUÉN PARA GARANTIZAR EL DES;10;CONTRATACIÓN DIRECTA;Cedula de Ciudadanía;$ 10.902.500;US071
2021;1;Usaquén;DESARROLLO ECONÓMICO, INDUSTRIA Y TURISMO;SDE;1941;3;Promover en 208 Mipymes y/o emprendimientos la transformación empresarial y/o productiva.;1337;14/12/2021;RES 597 CPS 052;CONTRATO DE PRESTACION DE SERVICIOS PROFESIONALES;17;"RESOLUCIÓN NÚMERO 597 DEL 13 DE DICIEMBRE DE 2021 ""POR MEDIO DEL CUAL SE SOLICITA LA EXPEDICIÓN DE CERTIFICADOS DE DISPONIBILIDAD PRESUPUESTAL Y CORRESPONDIENTES REGISTROS PRESUPUESTALES PARA SUBSANAR EL PAGO CONTRATOS DEL FONDO DE DESARROLLO LOCAL DE USA";10;CONTRATACIÓN DIRECTA;Cedula de Ciudadanía;$ 140.000;US071
2021;1;Usaquén;DESARROLLO ECONÓMICO, INDUSTRIA Y TURISMO;SDE;1941;4;Revitalizar 211 Mipymes y/o emprendimientos potencializadas dentro de las aglomeraciones económicas que fomentan el empleo y/o nuevas actividades económicas.;810;8/03/2021;114 2021;CONTRATO DE PRESTACION DE SERVICIOS PROFESIONALES;183;PRESTAR LOS SERVICIOS PROFESIONALES A LA ALCALDÍA LOCAL DE USAQUÉN PARA LA CONSTRUCCIÓN Y EJECUCIÓN DE LA ESTRATEGIA DE REACTIVACIÓN ECONÓMICA EN EL ÁREA DE GESTIÓN DE DESARROLLO LOCAL- META PDL: RE-VITALIZAR 211 MIPYMES Y/O EMPRENDIMIENTOS POTENCIALIZADA;10;CONTRATACIÓN DIRECTA;Cedula de Ciudadanía;$ 26.166.000;US084
2021;1;Usaquén;DESARROLLO ECONÓMICO, INDUSTRIA Y TURISMO;SDE;1941;4;Revitalizar 211 Mipymes y/o emprendimientos potencializadas dentro de las aglomeraciones económicas que fomentan el empleo y/o nuevas actividades económicas.;838;16/03/2021;160 2021;CONTRATO DE PRESTACION DE SERVICIOS DE APOYO A LA GESTION;244;PRESTAR LOS SERVICIOS DE APOYO A LAGESTION A LA ALCALDÍA LOCAL DE USAQUÉN PARA LA CONSTRUCCIÓN Y EJECUCIÓN DE ESTRATEGIAS DE REACTIVACIÓN ECONÓMICA EN EL MARCO DEL PROYECTO 1941. REACTIVACIÓN ECO-NÓMICA POR USAQUÉN  META PDL: REVITALIZAR 211 MIPYMES Y/O E;10;CONTRATACIÓN DIRECTA;Cedula de Ciudadanía;$ 24.000.000;US084
2021;1;Usaquén;DESARROLLO ECONÓMICO, INDUSTRIA Y TURISMO;SDE;1941;4;Revitalizar 211 Mipymes y/o emprendimientos potencializadas dentro de las aglomeraciones económicas que fomentan el empleo y/o nuevas actividades económicas.;978;16/07/2021;283 2021;CONVENIO DE COOPERACION;168;Aunar esfuerzos para la cooperación administrativa, técnica y económica, entre el Programa para las Naciones Unidas para el Desarrollo (PNUD) y El Fondo de Desarrollo Local, con el fin de implementar estrategias que promuevan el fortalecimiento a los empr;10;CONTRATACIÓN DIRECTA;NIT;$ 482.304.710;US084
2021;1;Usaquén;DESARROLLO ECONÓMICO, INDUSTRIA Y TURISMO;SDE;1941;4;Revitalizar 211 Mipymes y/o emprendimientos potencializadas dentro de las aglomeraciones económicas que fomentan el empleo y/o nuevas actividades económicas.;1005;18/08/2021;305 2021;CONVENIO INTERADMINISTRATIVO;135;LA ADHESIÓN DE LA FONDO DE DESARROLLO LOCAL DE USAQUÉN, AL CONTRATO INTERADMINISTRATIVO NO. CO1.PCCNTR.2564825 DE 2021, SUSCRITO ENTRE LA UDFJC Y EL SENA, PARTICULARMENTE PARA FINANCIAR PROYECTOS E INICIATIVAS EMPRESARIALES PRESENTADAS EN CONVOCATORIA CER;10;CONTRATACIÓN DIRECTA;NIT;$ 250.000.000;US084
